iso_code,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,gdp_per_capita
PER,South America,Peru,2020-03-18,4.398,0.849,0.455,0.182,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-19,1.028,0,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-19,2.123,0.118,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-19,11.279,4.988,0.17,0.057,17643060,66.939,10581.936
PER,South America,Peru,2020-03-19,7.097,2.699,0.607,0.152,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-20,1.285,0.257,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-20,3.105,0.983,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-20,20.801,9.522,0.283,0.113,17643060,66.939,10581.936
PER,South America,Peru,2020-03-20,7.097,0,0.789,0.182,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-21,1.628,0.343,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-21,3.852,0.747,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-21,28.68,7.878,0.397,0.113,17643060,66.939,10581.936
PER,South America,Peru,2020-03-21,9.645,2.548,0.91,0.121,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-22,2.056,0.428,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-22,4.54,0.688,0.039,0.039,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-22,44.72,16.04,0.794,0.397,17643060,66.939,10581.936
PER,South America,Peru,2020-03-22,11.009,1.365,1.031,0.121,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-23,2.313,0.257,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-23,5.444,0.904,0.059,0.02,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-23,55.603,10.882,1.02,0.227,17643060,66.939,10581.936
PER,South America,Peru,2020-03-23,11.98,0.971,1.183,0.152,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-24,2.484,0.171,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-24,7.429,1.985,0.059,0,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-24,61.327,5.725,1.53,0.51,17643060,66.939,10581.936
PER,South America,Peru,2020-03-24,12.617,0.637,1.365,0.182,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-25,2.741,0.257,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-25,9.237,1.808,0.079,0.02,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-25,66.485,5.158,1.587,0.057,17643060,66.939,10581.936
PER,South America,Peru,2020-03-25,14.558,1.941,1.729,0.364,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-26,3.684,0.942,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-26,9.65,0.413,0.118,0.039,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-26,79.521,13.036,1.927,0.34,17643060,66.939,10581.936
PER,South America,Peru,2020-03-26,17.591,3.033,1.911,0.182,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-27,5.226,1.542,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-27,10.593,0.943,0.118,0,50882884,44.223,13254.949
