iso_code,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,gdp_per_capita
BOL,South America,Bolivia,2020-07-18,4980.541,174.419,180.416,4.883,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-18,3747.822,168.229,128.059,4.481,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-18,4159.256,53.165,299.381,1.814,17643060,66.939,10581.936
PER,South America,Peru,2020-07-18,10599.952,120.193,1475.35,35.576,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-19,5104.245,123.704,184.271,3.855,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-19,3877.099,129.277,132.382,4.324,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-19,4195.021,35.765,301.138,1.757,17643060,66.939,10581.936
PER,South America,Peru,2020-07-19,10723.998,124.045,1499.127,23.778,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-20,5224.951,120.706,190.011,5.74,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-20,4009.305,132.206,136.175,3.793,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-20,4229.425,34.404,301.422,0.283,17643060,66.939,10581.936
PER,South America,Peru,2020-07-20,10848.073,124.076,1499.582,0.455,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-21,5341.973,117.022,194.722,4.712,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-21,4147.524,138.219,140.833,4.658,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-21,4319.942,90.517,304.142,2.721,17643060,66.939,10581.936
PER,South America,Peru,2020-07-21,10981.702,133.629,1512.654,13.072,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-22,5494.289,152.317,199.434,4.712,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-22,4292.76,145.235,144.901,4.068,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-22,4378.889,58.947,307.09,2.947,17643060,66.939,10581.936
PER,South America,Peru,2020-07-22,11117.06,135.358,1530.791,18.137,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-23,5589.98,95.691,206.202,6.768,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-23,4448.903,156.143,151.092,6.191,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-23,4429.39,50.501,308.28,1.19,17643060,66.939,10581.936
PER,South America,Peru,2020-07-23,11254.935,137.875,1549.716,18.925,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-24,5693.124,103.144,211.856,5.654,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-24,4589.775,140.873,156.732,5.64,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-24,4480.459,51.068,309.924,1.644,17643060,66.939,10581.936
PER,South America,Peru,2020-07-24,11402.486,147.55,1568.49,18.774,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-25,5849.467,156.343,217.167,5.311,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-25,4732.338,142.563,162.51,5.778,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-25,4536.401,55.943,312.134,2.211,17643060,66.939,10581.936
PER,South America,Peru,2020-07-25,11402.486,0,1586.05,17.56,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-26,5947.814,98.346,221.279,4.112,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-26,4893.119,160.781,167.542,5.031,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-26,4573.696,37.295,312.587,0.453,17643060,66.939,10581.936
PER,South America,Peru,2020-07-26,11402.486,0,1604.672,18.622,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-27,6097.903,150.09,226.762,5.483,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-27,5052.799,159.68,172.494,4.953,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-27,4600.166,26.469,313.551,0.964,17643060,66.939,10581.936
PER,South America,Peru,2020-07-27,11819.69,417.204,1623.567,18.895,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-28,6196.078,98.175,233.016,6.254,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-28,5254.91,202.111,178.331,5.837,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-28,4663.533,63.368,316.498,2.947,17643060,66.939,10581.936
PER,South America,Peru,2020-07-28,11980.069,160.379,1643.281,19.714,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-29,6299.479,103.401,240.555,7.539,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-29,5425.302,170.391,185.799,7.468,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-29,4715.338,51.805,318.709,2.211,17643060,66.939,10581.936
PER,South America,Peru,2020-07-29,12152.277,172.208,1661.842,18.561,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-30,6445.114,145.635,247.922,7.367,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-30,5621.144,195.842,192.796,6.996,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-30,4782.05,66.712,320.636,1.927,17643060,66.939,10581.936
PER,South America,Peru,2020-07-30,12152.277,0,1679.675,17.833,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-07-31,6578.327,133.213,255.032,7.11,11673029,10.202,6885.829
COL,South America,Colombia,2020-07-31,5807.611,186.467,198.593,5.798,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-07-31,4837.88,55.829,323.187,2.551,17643060,66.939,10581.936
PER,South America,Peru,2020-07-31,12358.786,206.51,1697.873,18.197,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-01,6750.005,171.678,262.485,7.453,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-01,6017.367,209.756,203.015,4.422,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-01,4887.588,49.708,325.114,1.927,17643060,66.939,10581.936
PER,South America,Peru,2020-08-01,12358.786,0,1717.041,19.168,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-02,6866.513,116.508,270.11,7.624,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-02,6242.787,225.42,209.304,6.289,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-02,4887.588,0,325.114,0,17643060,66.939,10581.936
PER,South America,Peru,2020-08-02,13006.551,647.765,1737.391,20.351,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-03,7011.548,145.035,276.535,6.425,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-03,6443.228,200.441,216.517,7.213,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-03,4933.441,45.854,326.871,1.757,17643060,66.939,10581.936
PER,South America,Peru,2020-08-03,13135.449,128.898,1754.83,17.439,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-04,7141.334,129.786,284.416,7.881,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-04,6583.334,140.106,222.373,5.857,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-04,4985.7,52.259,329.195,2.324,17643060,66.939,10581.936
PER,South America,Peru,2020-08-04,13341.382,205.933,1774.787,19.956,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-05,7293.822,152.488,289.985,5.568,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-05,6794.308,210.975,228.446,6.073,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-05,5036.881,51.182,331.405,2.211,17643060,66.939,10581.936
PER,South America,Peru,2020-08-05,13575.946,234.564,1794.713,19.926,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-06,7403.648,109.826,296.838,6.853,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-06,7030.065,235.757,234.637,6.191,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-06,5131.593,94.711,333.105,1.7,17643060,66.939,10581.936
PER,South America,Peru,2020-08-06,13812.057,236.111,1812.941,18.228,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-07,7529.408,125.76,301.893,5.054,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-07,7216.651,186.585,240.749,6.112,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-07,5212.758,81.165,334.239,1.134,17643060,66.939,10581.936
PER,South America,Peru,2020-08-07,14068.821,256.765,1831.987,19.047,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-08,7629.125,99.717,307.29,5.397,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-08,7406.616,189.966,246.448,5.699,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-08,5303.615,90.857,335.316,1.077,17643060,66.939,10581.936
PER,South America,Peru,2020-08-08,14068.821,0,1852.065,20.078,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-09,7709.995,80.87,311.83,4.54,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-09,7615.154,208.538,252.383,5.935,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-09,5353.89,50.275,335.656,0.34,17643060,66.939,10581.936
PER,South America,Peru,2020-08-09,14497.945,429.124,1871.839,19.774,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-10,7850.148,140.152,317.998,6.168,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-10,7814.475,199.32,258.515,6.132,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-10,5367.606,13.716,336.223,0.567,17643060,66.939,10581.936
PER,South America,Peru,2020-08-10,14652.895,154.95,1889.46,17.621,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-11,7995.183,145.035,322.196,4.198,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-11,8066.622,252.148,264.824,6.309,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-11,5416.464,48.858,337.3,1.077,17643060,66.939,10581.936
PER,South America,Peru,2020-08-11,14851.458,198.563,1908.719,19.259,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-12,8144.501,149.319,327.85,5.654,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-12,8303.755,237.133,271.938,7.114,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-12,5504.147,87.683,339.17,1.87,17643060,66.939,10581.936
PER,South America,Peru,2020-08-12,14851.458,0,1920.032,11.313,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-13,8263.408,118.907,332.733,4.883,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-13,8525.558,221.803,277.991,6.053,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-13,5574.033,69.886,340.644,1.474,17643060,66.939,10581.936
PER,South America,Peru,2020-08-13,15120.627,269.169,1945.266,25.234,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-14,8391.138,127.73,337.445,4.712,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-14,8747.755,222.197,284.811,6.82,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-14,5634.453,60.42,341.777,1.134,17643060,66.939,10581.936
PER,South America,Peru,2020-08-14,15658.693,538.065,1965.525,20.26,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-15,8493.597,102.458,342.927,5.483,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-15,8975.297,227.542,291.061,6.25,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-15,5706.947,72.493,343.761,1.984,17643060,66.939,10581.936
PER,South America,Peru,2020-08-15,15658.693,0,1985.209,19.683,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-16,8596.226,102.63,347.639,4.712,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-16,9204.117,228.82,296.701,5.64,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-16,5755.351,48.404,344.045,0.283,17643060,66.939,10581.936
PER,South America,Peru,2020-08-16,15947.029,288.337,2002.921,17.712,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-17,8671.528,75.302,353.207,5.568,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-17,9367.787,163.67,302.106,5.405,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-17,5767.197,11.846,344.781,0.737,17643060,66.939,10581.936
PER,South America,Peru,2020-08-17,16254.656,307.626,2019.571,16.651,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-18,8825.387,153.859,357.405,4.198,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-18,9612.702,244.915,306.96,4.854,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-18,5834.645,67.449,346.028,1.247,17643060,66.939,10581.936
PER,South America,Peru,2020-08-18,16422.89,168.234,2038.042,18.47,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-19,8999.378,173.991,362.631,5.226,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-19,9869.291,256.589,314.035,7.075,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-19,5921.592,86.946,348.352,2.324,17643060,66.939,10581.936
PER,South America,Peru,2020-08-19,16660.305,237.415,2055.42,17.378,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-20,9086.331,86.953,368.799,6.168,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-20,10096.106,226.815,318.044,4.009,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-20,5980.142,58.55,351.413,3.061,17643060,66.939,10581.936
PER,South America,Peru,2020-08-20,16936.267,275.963,2071.04,15.619,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-21,9203.695,117.365,374.025,5.226,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-21,10261.565,165.458,325.61,7.566,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-21,6035.291,55.149,354.134,2.721,17643060,66.939,10581.936
PER,South America,Peru,2020-08-21,17198.279,262.011,2086.356,15.316,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-22,9288.677,84.982,380.535,6.511,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-22,10477.059,215.495,333.472,7.861,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-22,6069.752,34.461,355.777,1.644,17643060,66.939,10581.936
PER,South America,Peru,2020-08-22,17471.482,273.203,2102.157,15.801,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-23,9350.529,61.852,386.275,5.74,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-23,10634.991,157.931,340.311,6.839,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-23,6108.294,38.542,357.648,1.87,17643060,66.939,10581.936
PER,South America,Peru,2020-08-23,17749.567,278.086,2117.746,15.589,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-24,9436.111,85.582,392.186,5.911,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-24,10842.31,207.319,346.128,5.817,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-24,6137.767,29.473,358.328,0.68,17643060,66.939,10581.936
PER,South America,Peru,2020-08-24,18025.257,275.69,2133.638,15.892,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-25,9509.014,72.903,399.554,7.367,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-25,11047.192,204.882,351.572,5.444,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-25,6179.767,42,360.935,2.607,17643060,66.939,10581.936
PER,South America,Peru,2020-08-25,18210.627,185.37,2149.137,15.498,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-26,9602.82,93.806,404.865,5.311,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-26,11246.277,199.085,357.37,5.798,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-26,6265.863,86.096,363.316,2.381,17643060,66.939,10581.936
PER,South America,Peru,2020-08-26,18421.231,210.604,2165.059,15.923,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-27,9691.486,88.666,410.433,5.568,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-27,11437.933,191.656,362.931,5.562,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-27,6303.838,37.975,366.773,3.457,17643060,66.939,10581.936
PER,South America,Peru,2020-08-27,18603.083,181.852,2178.556,13.496,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-28,9801.141,109.654,415.145,4.712,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-28,11604.924,166.991,368.808,5.876,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-28,6356.097,52.259,368.644,1.87,17643060,66.939,10581.936
PER,South America,Peru,2020-08-28,18864.488,261.405,2193.356,14.801,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-29,9882.097,80.956,423.026,7.881,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-29,11789.505,184.581,374.645,5.837,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-29,6399.457,43.36,370.514,1.87,17643060,66.939,10581.936
PER,South America,Peru,2020-08-29,19106.028,241.539,2207.975,14.619,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-30,9934.696,52.6,425.425,2.399,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-30,11947.122,157.617,380.541,5.896,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-30,6441.513,42.056,371.534,1.02,17643060,66.939,10581.936
PER,South America,Peru,2020-08-30,19393.364,287.336,2220.895,12.92,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-08-31,9988.667,53.971,430.651,5.226,11673029,10.202,6885.829
COL,South America,Colombia,2020-08-31,12088.426,141.305,386.417,5.876,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-08-31,6448.258,6.745,371.591,0.057,17643060,66.939,10581.936
PER,South America,Peru,2020-08-31,19627.836,234.473,2232.571,11.677,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-01,10045.979,57.312,436.99,6.339,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-01,12263.967,175.54,394.042,7.625,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-01,6478.978,30.72,372.441,0.85,17643060,66.939,10581.936
PER,South America,Peru,2020-09-01,19775.569,147.732,2245.522,12.95,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-02,10102.605,56.626,445.728,8.738,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-02,12446.641,182.674,399.84,5.798,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-02,6544.046,65.068,375.162,2.721,17643060,66.939,10581.936
PER,South America,Peru,2020-09-02,19930.003,154.435,2256.956,11.434,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-03,10175.679,73.074,453.01,7.282,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-03,12608.837,162.196,405.205,5.365,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-03,6595.228,51.182,376.805,1.644,17643060,66.939,10581.936
PER,South America,Peru,2020-09-03,19930.003,0,2269.087,12.132,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-04,10244.128,68.448,457.722,4.712,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-04,12775.671,166.834,410.511,5.306,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-04,6641.422,46.194,378.279,1.474,17643060,66.939,10581.936
PER,South America,Peru,2020-09-04,20324.764,394.761,2279.945,10.858,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-05,10300.754,56.626,462.434,4.712,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-05,12940.619,164.947,415.778,5.267,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-05,6690.733,49.311,381.113,2.834,17643060,66.939,10581.936
PER,South America,Peru,2020-09-05,20528.059,203.295,2291.046,11.1,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-06,10345.986,45.232,462.434,0,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-06,13099.12,158.501,420.809,5.031,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-06,6690.733,0,381.113,0,17643060,66.939,10581.936
PER,South America,Peru,2020-09-06,20735.933,207.874,2301.994,10.949,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-07,10417.519,71.532,604.299,141.865,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-07,13203.811,104.691,424.799,3.99,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-07,6239.961,-450.772,599.443,218.329,17643060,66.939,10581.936
PER,South America,Peru,2020-09-07,20926.247,190.314,2312.731,10.736,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-08,10477.829,60.31,607.983,3.684,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-08,13354.451,150.64,428.769,3.97,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-08,6277.653,37.692,602.333,2.891,17643060,66.939,10581.936
PER,South America,Peru,2020-09-08,20974.713,48.466,2322.77,10.039,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-09,10566.666,88.837,612.18,4.198,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-09,13498.665,144.214,433.407,4.638,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-09,6357.514,79.861,606.527,4.194,17643060,66.939,10581.936
PER,South America,Peru,2020-09-09,21114.681,139.968,2332.475,9.705,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-10,10640.34,73.674,616.207,4.026,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-10,13652.214,153.549,437.77,4.363,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-10,6416.461,58.947,609.248,2.721,17643060,66.939,10581.936
PER,South America,Peru,2020-09-10,21314.427,199.746,2342.271,9.796,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-11,10723.181,82.841,621.09,4.883,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-11,13798.117,145.904,442.546,4.776,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-11,6502.954,86.493,614.179,4.931,17643060,66.939,10581.936
PER,South America,Peru,2020-09-11,21535.555,221.128,2351.43,9.159,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-12,10792.571,69.391,625.116,4.026,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-12,13933.251,135.134,446.791,4.245,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-12,6600.386,97.432,615.766,1.587,17643060,66.939,10581.936
PER,South America,Peru,2020-09-12,21735.817,200.262,2360.347,8.917,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-13,10861.877,69.305,629.143,4.026,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-13,14077.799,144.548,450.525,3.734,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-13,6721.85,121.464,617.977,2.211,17643060,66.939,10581.936
PER,South America,Peru,2020-09-13,21922.703,186.887,2369.142,8.795,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-14,10932.809,70.933,633.426,4.283,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-14,14187.325,109.526,454.436,3.911,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-14,6739.817,17.967,619.054,1.077,17643060,66.939,10581.936
PER,South America,Peru,2020-09-14,22128.546,205.842,2377.604,8.462,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-15,10989.95,57.14,637.966,4.54,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-15,14318.96,131.636,457.678,3.243,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-15,6776.205,36.388,621.377,2.324,17643060,66.939,10581.936
PER,South America,Peru,2020-09-15,22257.171,128.625,2386.278,8.674,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-16,11040.151,50.201,640.622,2.656,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-16,14471.998,153.038,461.413,3.734,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-16,6887.977,111.772,623.248,1.87,17643060,66.939,10581.936
PER,South America,Peru,2020-09-16,22383.339,126.168,2394.861,8.583,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-17,11087.011,46.86,643.449,2.827,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-17,14620.732,148.734,465.088,3.675,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-17,6929.467,41.489,625.118,1.87,17643060,66.939,10581.936
PER,South America,Peru,2020-09-17,22576.837,193.498,2402.686,7.825,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-18,11141.153,54.142,646.79,3.341,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-18,14748.987,128.255,465.088,0,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-18,7035.571,106.104,625.969,0.85,17643060,66.939,10581.936
PER,South America,Peru,2020-09-18,22749.651,172.814,2410.359,7.673,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-19,11177.048,35.895,649.874,3.084,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-19,14904.776,155.789,472.438,7.35,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-19,7120.08,84.509,628.236,2.267,17643060,66.939,10581.936
PER,South America,Peru,2020-09-19,22941.148,191.497,2417.881,7.522,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-20,11194.695,17.648,652.53,2.656,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-20,15036.019,131.243,475.759,3.321,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-20,7165.367,45.287,628.576,0.34,17643060,66.939,10581.936
PER,South America,Peru,2020-09-20,23136.86,195.712,2426.434,8.553,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-21,11221.252,26.557,655.7,3.17,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-21,15141.339,105.32,479.474,3.714,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-21,7181.917,16.55,628.859,0.283,17643060,66.939,10581.936
PER,South America,Peru,2020-09-21,23319.744,182.883,2433.743,7.309,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-22,11261.259,40.007,659.041,3.341,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-22,15280.915,139.575,479.474,0,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-22,7234.743,52.825,630.616,1.757,17643060,66.939,10581.936
PER,South America,Peru,2020-09-22,23319.744,0,2440.81,7.067,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-23,11307.262,46.003,662.296,3.255,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-23,15413.199,132.284,486.332,6.859,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-23,7362.215,127.472,633.167,2.551,17643060,66.939,10581.936
PER,South America,Peru,2020-09-23,23551.79,232.046,2447.876,7.067,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-24,11361.061,53.799,665.209,2.913,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-24,15542.024,128.825,486.332,0,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-24,7433.291,71.076,635.547,2.381,17643060,66.939,10581.936
PER,South America,Peru,2020-09-24,23738.283,186.492,2454.609,6.733,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-25,11412.805,51.743,668.207,2.998,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-25,15689.303,147.279,493.349,7.016,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-25,7508.618,75.327,636.851,1.304,17643060,66.939,10581.936
PER,South America,Peru,2020-09-25,24098.863,360.58,2461.069,6.46,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-26,11444.502,31.697,670.606,2.399,11673029,10.202,6885.829
COL,South America,Colombia,2020-09-26,15841.044,151.741,497.142,3.793,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-09-26,7593.977,85.359,638.948,2.097,17643060,66.939,10581.936
PER,South America,Peru,2020-09-26,24098.863,0,2467.711,6.642,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-09-27,11470.973,26.471,673.176,2.57,11673029,10.202,6885.829
